title,original_language,genre_list,director_name,release_year,release_date,status,runtime_minutes,is_adult,budget_tier,runtime_bucket,language_group,language_name
Blood Diner,en,"Horror,Comedy",Jackie Kong,1987,1987-07-24,Released,88,false,1. Micro (<$1M),1. Under 90 min,English,English
Tracks,en,Drama,Henry Jaglom,1976,1976-12-15,Released,92,false,1. Micro (<$1M),2. 90-120 min,English,English
Haunted Office,cn,Horror,Wong Jing,2002,2002-09-06,Released,89,false,1. Micro (<$1M),1. Under 90 min,Non-English,Other
Abattoir,en,"Horror,Thriller",Darren Lynn Bousman,2016,2016-11-24,Released,98,false,1. Micro (<$1M),2. 90-120 min,English,English
Xenia,el,"Drama,Romance",Panos H. Koutras,2014,2014-06-18,Released,123,false,1. Micro (<$1M),3. 120-150 min,Non-English,Other
Catfight,en,"Drama,Comedy",Onur Tukel,2016,2016-09-09,Released,96,false,1. Micro (<$1M),2. 90-120 min,English,English
Midway,en,"Action,History,War",Roland Emmerich,2019,2019-11-06,Released,138,false,4. High ($75-150M),3. 120-150 min,English,English
Transamazonia,en,Drama,Pia Marais,2025,2025-05-15,Released,112,false,1. Micro (<$1M),2. 90-120 min,English,English
Divinity,en,"Fantasy,Horror,Science Fiction",Eddie Alcazar,2023,2023-10-13,Released,94,false,1. Micro (<$1M),2. 90-120 min,English,English
Rita,tl,Drama,Jerry Lopez Sineneng,2024,2024-03-22,Released,113,false,1. Micro (<$1M),2. 90-120 min,Non-English,Tagalog
Icefall,en,"Action,Thriller,Crime",Stefan Ruzowitzky,2025,2025-10-16,Released,99,false,1. Micro (<$1M),2. 90-120 min,English,English
Kill Bill: Vol. 2,en,"Action,Thriller,Crime",Quentin Tarantino,2004,2004-04-16,Released,136,false,3. Mid ($15-75M),3. 120-150 min,English,English
Cobra,en,"Action,Thriller,Crime",George P. Cosmatos,1986,1986-01-01,Released,87,false,3. Mid ($15-75M),1. Under 90 min,English,English
Maharathi,hi,Thriller,Shivam Nair,2008,2008-12-04,Released,119,false,1. Micro (<$1M),2. 90-120 min,Non-English,Hindi
Her Man,en,"Drama,Romance",Tay Garnett,1930,1930-09-21,Released,84,false,1. Micro (<$1M),1. Under 90 min,English,English
La La Land,en,"Drama,Comedy,Romance",Damien Chazelle,2016,2016-12-01,Released,129,false,3. Mid ($15-75M),3. 120-150 min,English,English
Magic Hour,en,Crime,Cole Mueller,2015,2015-12-01,Released,81,false,1. Micro (<$1M),1. Under 90 min,English,English
Joint Custody,fr,Comedy,Alexandra Leclère,2017,2017-12-20,Released,93,false,1. Micro (<$1M),2. 90-120 min,Non-English,French
Heartbeats,en,"Drama,Music,Romance",Duane Adler,2017,2017-06-30,Released,110,false,1. Micro (<$1M),2. 90-120 min,English,English
Kuriton sukupolvi,fi,Comedy,Wilho Ilmari,1937,1937-11-28,Released,110,false,1. Micro (<$1M),2. 90-120 min,Non-English,Other
The Guardians of the Galaxy Holiday Special,en,"Adventure,Comedy,Science Fiction",James Gunn,2022,2022-11-24,Released,45,false,1. Micro (<$1M),1. Under 90 min,English,English
Desig,ca,Drama,Llorenç Soler,"","",Released,101,false,1. Micro (<$1M),2. 90-120 min,Non-English,Other
Ararat,en,"Drama,History,War",Atom Egoyan,2002,2002-05-20,Released,115,false,1. Micro (<$1M),2. 90-120 min,English,English
Bronson,en,"Drama,Action,Crime",Nicolas Winding Refn,2009,2009-03-13,Released,92,false,1. Micro (<$1M),2. 90-120 min,English,English
Shorts,en,"Adventure,Fantasy,Comedy,Science Fiction,Family",Robert Rodriguez,2009,2009-08-21,Released,89,false,3. Mid ($15-75M),1. Under 90 min,English,English
Boardwalk,en,Drama,Stephen Verona,1979,1979-11-14,Released,98,false,1. Micro (<$1M),2. 90-120 min,English,English
Luis,es,"Animation,Drama,Horror",Niles Atallah,2008,2008-01-01,Released,4,false,1. Micro (<$1M),1. Under 90 min,Non-English,Spanish
End of Loyalty,en,"Action,Crime",Hiroshi Katagiri,2023,2023-03-07,Released,90,false,1. Micro (<$1M),2. 90-120 min,English,English
The Other,en,"Horror,Thriller",Paul Etheredge,2025,2025-04-26,Released,99,false,1. Micro (<$1M),2. 90-120 min,English,English
Guru,fr,"Drama,Thriller",Yann Gozlan,2026,2026-01-28,Released,126,false,1. Micro (<$1M),3. 120-150 min,Non-English,French
Mystery Train,en,Comedy,Jim Jarmusch,1989,1989-09-06,Released,106,false,2. Low ($1-15M),2. 90-120 min,English,English
Boys,en,"Drama,Mystery,Romance",Stacy Cochran,1996,1996-05-10,Released,86,false,1. Micro (<$1M),1. Under 90 min,English,English
Wolf Girl,en,"Fantasy,Drama,Horror",Thom Fitzgerald,2001,2001-09-21,Released,97,false,1. Micro (<$1M),2. 90-120 min,English,English
Full Clip,en,"Action,Thriller",mink,2004,2004-08-09,Released,90,false,1. Micro (<$1M),2. 90-120 min,English,English
About Time,en,"Fantasy,Drama,Romance",Richard Curtis,2013,2013-09-04,Released,123,false,2. Low ($1-15M),3. 120-150 min,English,English
No Escape,en,"Action,Thriller",John Erick Dowdle,2015,2015-08-26,Released,103,false,2. Low ($1-15M),2. 90-120 min,English,English
Promising Young Woman,en,"Drama,Thriller,Crime",Emerald Fennell,2020,2020-12-13,Released,114,false,2. Low ($1-15M),2. 90-120 min,English,English
Frogman,en,Horror,Anthony Cousins,2024,2024-09-26,Released,81,false,1. Micro (<$1M),1. Under 90 min,English,English
Joint Security Area,ko,"Drama,Action,Thriller",Park Chan-wook,2000,2000-09-09,Released,108,false,2. Low ($1-15M),2. 90-120 min,Non-English,Korean
The Blair Witch Project,en,"Horror,Mystery",Daniel Myrick,1999,1999-07-14,Released,81,false,1. Micro (<$1M),1. Under 90 min,English,English
Firewalker,en,"Adventure,Action,Comedy",J. Lee Thompson,1986,1986-11-21,Released,104,false,2. Low ($1-15M),2. 90-120 min,English,English
8 Seconds,en,"Drama,Western,Romance",John G. Avildsen,1994,1994-02-25,Released,105,false,2. Low ($1-15M),2. 90-120 min,English,English
The Cabin in the Woods,en,"Horror,Comedy,Mystery",Drew Goddard,2012,2012-04-12,Released,95,false,3. Mid ($15-75M),2. 90-120 min,English,English
Head Office,en,Comedy,Ken Finkleman,1985,1985-06-06,Released,90,false,1. Micro (<$1M),2. 90-120 min,English,English
Long Gone,en,"Drama,Comedy,TV Movie",Martin Davidson,1987,1987-05-23,Released,110,false,1. Micro (<$1M),2. 90-120 min,English,English
Random Encounter,en,"Thriller,Crime",Douglas Jackson,1998,1998-09-18,Released,93,false,1. Micro (<$1M),2. 90-120 min,English,English
Avengers: Infinity War,en,"Adventure,Action,Science Fiction",Joe Russo,2018,2018-04-25,Released,149,false,5. Blockbuster ($150M+),3. 120-150 min,English,English
Golden Shoes,en,"Family,TV Movie",Lance Kawas,2015,2015-10-06,Released,89,false,1. Micro (<$1M),1. Under 90 min,English,English
Supercon,en,Comedy,Zak Knutson,2018,2018-04-27,Released,100,false,1. Micro (<$1M),2. 90-120 min,English,English
Mank,en,"Drama,History",David Fincher,2020,2020-11-13,Released,132,false,3. Mid ($15-75M),3. 120-150 min,English,English
Tubero,tl,Drama,Topel Lee,2022,2022-10-21,Released,118,false,1. Micro (<$1M),2. 90-120 min,Non-English,Tagalog
The Negotiator,it,"Drama,Thriller",Alessandro Tonda,2025,2025-03-06,Released,109,false,2. Low ($1-15M),2. 90-120 min,Non-English,Italian
Diamonds Are Forever,en,"Action,Thriller",Guy Hamilton,1971,1971-12-14,Released,120,false,2. Low ($1-15M),3. 120-150 min,English,English
DodgeBall: A True Underdog Story,en,Comedy,Rawson Marshall Thurber,2004,2004-06-18,Released,93,false,3. Mid ($15-75M),2. 90-120 min,English,English
Faintheart,en,"Comedy,Romance",Vito Rocco,2009,2009-01-27,Released,90,false,1. Micro (<$1M),2. 90-120 min,English,English
Jennifer's Body,en,"Horror,Comedy",Karyn Kusama,2009,2009-09-18,Released,107,false,3. Mid ($15-75M),2. 90-120 min,English,English
Escape Plan,en,"Action,Thriller",Mikael Håfström,2013,2013-10-09,Released,115,false,3. Mid ($15-75M),2. 90-120 min,English,English
Night Club,en,Comedy,Sam Borowski,2011,2011-04-11,Released,95,false,2. Low ($1-15M),2. 90-120 min,English,English
Abruptio,en,"Animation,Horror",Evan Marlowe,2024,2024-09-27,Released,95,false,1. Micro (<$1M),2. 90-120 min,English,English
Dead Badge,en,"Action,Crime",Douglas Barr,1995,1995-03-28,Released,95,false,1. Micro (<$1M),2. 90-120 min,English,English
Las Rojas,es,"Drama,Thriller",Matías Lucchesi,2021,2021-11-02,Released,92,false,1. Micro (<$1M),2. 90-120 min,Non-English,Spanish
Liar x Liar,ja,"Comedy,Romance",Saiji Yakumo,2021,2021-02-19,Released,117,false,1. Micro (<$1M),2. 90-120 min,Non-English,Japanese
Doors,en,Drama,Thembi Banks,2015,2015-04-27,Released,11,false,1. Micro (<$1M),1. Under 90 min,English,English
Tinā,en,"Drama,Comedy",Miki Magasiva,2025,2025-02-27,Released,125,false,1. Micro (<$1M),3. 120-150 min,English,English
Makoto Kitano: Don't You Guys Go - Terrifying Cursed Objects SP,ja,Horror,Taisen Kamakura,2022,2022-10-05,Released,91,false,1. Micro (<$1M),2. 90-120 min,Non-English,Japanese
Death Wish,en,"Drama,Action,Thriller,Crime",Eli Roth,2018,2018-03-01,Released,107,false,3. Mid ($15-75M),2. 90-120 min,English,English
Meg 2: The Trench,en,"Horror,Action,Science Fiction",Ben Wheatley,2023,2023-08-02,Released,116,false,4. High ($75-150M),2. 90-120 min,English,English
Rebel Ridge,en,"Action,Thriller,Crime",Jeremy Saulnier,2024,2024-08-27,Released,130,false,1. Micro (<$1M),3. 120-150 min,English,English
Knob,tr,"Drama,TV Movie",Lütfi Akad,1975,1975-03-31,Released,37,false,1. Micro (<$1M),1. Under 90 min,Non-English,Other
Dutch & Razzlekhan,en,"Drama,Crime",Jon S. Baird,"","",Rumored,0,false,1. Micro (<$1M),1. Under 90 min,English,English
Copper,es,Drama,Nicolás Pereda,2025,2025-07-09,Released,79,false,1. Micro (<$1M),1. Under 90 min,Non-English,Spanish
John Carter,en,"Adventure,Action,Science Fiction",Andrew Stanton,2012,2012-03-07,Released,132,false,5. Blockbuster ($150M+),3. 120-150 min,English,English
Zana,sq,"Drama,Horror,Thriller",Antoneta Kastrati,2019,2019-09-21,Released,97,false,1. Micro (<$1M),2. 90-120 min,Non-English,Other
HUMINT,ko,"Adventure,Drama,Action",Ryoo Seung-wan,2026,2026-02-11,Released,120,false,1. Micro (<$1M),3. 120-150 min,Non-English,Korean
A Perfect Murder,en,"Drama,Thriller,Crime",Andrew Davis,1998,1998-06-05,Released,107,false,3. Mid ($15-75M),2. 90-120 min,English,English
Scream,en,"Horror,Crime,Mystery",Wes Craven,1996,1996-12-20,Released,112,false,2. Low ($1-15M),2. 90-120 min,English,English
Wrong Turn,en,"Horror,Thriller",Rob Schmidt,2003,2003-05-30,Released,84,false,2. Low ($1-15M),1. Under 90 min,English,English
Fanny & Elvis,en,"Comedy,Romance",Kay Mellor,1999,1999-11-19,Released,0,false,1. Micro (<$1M),1. Under 90 min,English,English
Ares,fr,"Drama,Thriller,Science Fiction",Jean-Patrick Benes,2016,2016-11-23,Released,80,false,1. Micro (<$1M),1. Under 90 min,Non-English,French
Lapsis,en,"Drama,Thriller,Science Fiction",Noah Hutton,2021,2021-02-12,Released,108,false,1. Micro (<$1M),2. 90-120 min,English,English
Shaun of the Dead,en,"Horror,Comedy",Edgar Wright,2004,2004-04-09,Released,99,false,2. Low ($1-15M),2. 90-120 min,English,English
Naruto Shippuden the Movie,ja,"Fantasy,Animation,Action",Hajime Kamegaki,2007,2007-08-04,Released,94,false,1. Micro (<$1M),2. 90-120 min,Non-English,Japanese
My Bodyguard,en,"Drama,Comedy,Family",Tony Bill,1980,1980-07-11,Released,96,false,1. Micro (<$1M),2. 90-120 min,English,English
Squirm,en,Horror,Jeff Lieberman,1976,1976-07-30,Released,92,false,1. Micro (<$1M),2. 90-120 min,English,English
Strangers,ca,Drama,Ventura Pons,2008,2008-11-28,Released,105,false,1. Micro (<$1M),2. 90-120 min,Non-English,Other
Chico Ramos,en,"",José Delfos,1971,1971-08-26,Released,85,false,1. Micro (<$1M),1. Under 90 min,English,English
Cold Pursuit,en,"Action,Crime",Hans Petter Moland,2019,2019-02-07,Released,119,false,3. Mid ($15-75M),2. 90-120 min,English,English
Evlenmeden Olmaz,tr,"","",2015,2015-10-25,Released,0,false,1. Micro (<$1M),1. Under 90 min,Non-English,Other
Menschenjagd,de,Crime,Markus Bräutigam,1999,1999-01-04,Released,0,false,1. Micro (<$1M),1. Under 90 min,Non-English,German
Trophy Wife,en,Drama,Voula Wolf Duval,2010,2010-05-12,Released,15,false,1. Micro (<$1M),1. Under 90 min,English,English
Santastein,en,"Fantasy,Horror,Comedy",Manuel Camilion,2024,2024-11-25,Released,88,false,1. Micro (<$1M),1. Under 90 min,English,English
Anemos,en,"",Fabrizio Guarducci,2021,2021-12-27,Released,75,false,1. Micro (<$1M),1. Under 90 min,English,English
The Seed of the Sacred Fig,fr,"Drama,Thriller,Crime",Mohammad Rasoulof,2024,2024-09-18,Released,167,false,2. Low ($1-15M),4. 150-180 min,Non-English,French
The Thin Red Line,en,"Drama,History,War",Terrence Malick,1998,1998-12-23,Released,171,false,3. Mid ($15-75M),4. 150-180 min,English,English
Arthur and the Invisibles,fr,"Adventure,Fantasy,Animation,Family",Luc Besson,2006,2006-12-13,Released,94,false,4. High ($75-150M),2. 90-120 min,Non-English,French
Asphalt,de,Drama,Joe May,1929,1929-03-12,Released,93,false,1. Micro (<$1M),2. 90-120 min,Non-English,German
21 Jump Street,en,"Action,Comedy,Crime",Christopher Miller,2012,2012-03-14,Released,109,false,3. Mid ($15-75M),2. 90-120 min,English,English
Policeman and Me,ja,Comedy,Ryuichi Hiroki,2017,2017-03-25,Released,124,false,1. Micro (<$1M),3. 120-150 min,Non-English,Japanese
Premature,en,"Drama,Romance",Rashaad Ernesto Green,2020,2020-02-21,Released,86,false,1. Micro (<$1M),1. Under 90 min,English,English
Ladies of Steel,fi,"Drama,Comedy",Pamela Tola,2020,2020-01-03,Released,91,false,2. Low ($1-15M),2. 90-120 min,Non-English,Other
Big George Foreman,en,"Drama,History",George Tillman Jr.,2023,2023-04-27,Released,129,false,3. Mid ($15-75M),3. 120-150 min,English,English
Rives,fr,Drama,Arthur Cahn,2025,2025-09-06,Released,23,false,1. Micro (<$1M),1. Under 90 min,Non-English,French
Nashville,en,"Drama,Comedy,Music",Robert Altman,1975,1975-06-11,Released,160,false,2. Low ($1-15M),4. 150-180 min,English,English
Bad Boys,en,"Action,Comedy,Thriller,Crime",Michael Bay,1995,1995-04-07,Released,119,false,3. Mid ($15-75M),2. 90-120 min,English,English
National Lampoon's Vacation,en,"Adventure,Comedy",Harold Ramis,1983,1983-07-29,Released,99,false,3. Mid ($15-75M),2. 90-120 min,English,English
The Duchess,en,"Drama,History,Romance",Saul Dibb,2008,2008-09-05,Released,110,false,3. Mid ($15-75M),2. 90-120 min,English,English
Secretariat,en,Drama,Randall Wallace,2010,2010-08-20,Released,123,false,3. Mid ($15-75M),3. 120-150 min,English,English
Coffee Town,en,Comedy,Brad Copeland,2013,2013-07-09,Released,87,false,2. Low ($1-15M),1. Under 90 min,English,English
Creedmoria,en,"Drama,Comedy",Alicia Slimmer,2016,2016-03-04,Released,90,false,1. Micro (<$1M),2. 90-120 min,English,English
Maestro,en,"Drama,Music,Romance",Bradley Cooper,2023,2023-11-22,Released,129,false,4. High ($75-150M),3. 120-150 min,English,English
Bone Lake,en,"Horror,Thriller,Mystery",Mercedes Bryce Morgan,2025,2025-10-02,Released,94,false,2. Low ($1-15M),2. 90-120 min,English,English
A Nightmare on Elm Street,en,Horror,Wes Craven,1984,1984-11-09,Released,91,false,2. Low ($1-15M),2. 90-120 min,English,English
Valhalla,da,"Adventure,Fantasy,Animation",Peter Madsen,1986,1986-05-12,Released,76,false,1. Micro (<$1M),1. Under 90 min,Non-English,Other
Fun Size,en,Comedy,Josh Schwartz,2012,2012-10-24,Released,87,false,2. Low ($1-15M),1. Under 90 min,English,English
TekWar: TekJustice,en,Science Fiction,Jerry Ciccoritti,1994,1994-05-14,Released,100,false,1. Micro (<$1M),2. 90-120 min,English,English
Super-Sleuth,en,"Comedy,Mystery",Benjamin Stoloff,1937,1937-07-16,Released,70,false,1. Micro (<$1M),1. Under 90 min,English,English
Hercule,fr,Comedy,Alexander Esway,1938,1938-03-05,Released,105,false,1. Micro (<$1M),2. 90-120 min,Non-English,French
Annabelle Comes Home,en,Horror,Gary Dauberman,2019,2019-06-26,Released,106,false,3. Mid ($15-75M),2. 90-120 min,English,English
Unmoral,de,Drama,Willi Wolff,1928,1928-12-11,Released,0,false,1. Micro (<$1M),1. Under 90 min,Non-English,German
Verotika,en,Horror,Glenn Danzig,2019,2019-06-13,Released,89,false,1. Micro (<$1M),1. Under 90 min,English,English
Sissy,en,"Drama,Horror,Comedy,Thriller",Hannah Barlow,2022,2022-11-03,Released,102,false,1. Micro (<$1M),2. 90-120 min,English,English
Resident Evil: Death Island,ja,"Animation,Horror,Action,Science Fiction",Eiichiro Hasumi,2023,2023-06-22,Released,91,false,1. Micro (<$1M),2. 90-120 min,Non-English,Japanese
Risky Business,id,"Drama,Comedy,Crime",Imam Darto,2024,2024-12-19,Released,107,false,1. Micro (<$1M),2. 90-120 min,Non-English,Other
Lethal Weapon 3,en,"Action,Comedy,Thriller,Crime",Richard Donner,1992,1992-05-15,Released,118,false,3. Mid ($15-75M),2. 90-120 min,English,English
Point Break,en,"Adventure,Action,Thriller,Crime",Ericson Core,2015,2015-12-03,Released,114,false,4. High ($75-150M),2. 90-120 min,English,English
Ashby,en,"Drama,Comedy,Romance",Tony McNamara,2015,2015-04-19,Released,102,false,1. Micro (<$1M),2. 90-120 min,English,English
Taken Heart,en,"Action,Thriller,Crime",Steven R. Monroe,2017,2017-01-24,Released,89,false,1. Micro (<$1M),1. Under 90 min,English,English
Aurora,fi,"Drama,Comedy,Romance",Miia Tervo,2019,2019-01-25,Released,106,false,1. Micro (<$1M),2. 90-120 min,Non-English,Other
Parkour(s),ar,"Drama,Comedy",Fatma Zohra Zamoum,2020,2020-06-24,Released,0,false,1. Micro (<$1M),1. Under 90 min,Non-English,Other
Gluta,tl,"Drama,Comedy",Darryl Yap,2021,2021-07-02,Released,86,false,1. Micro (<$1M),1. Under 90 min,Non-English,Tagalog
Descendants: The Rise of Red,en,"Adventure,Fantasy,Comedy,Family",Jennifer Phang,2024,2024-07-11,Released,92,false,1. Micro (<$1M),2. 90-120 min,English,English
Grinders,en,"Horror,Action,Comedy",Andew Heller,2023,2023-02-15,Released,87,false,1. Micro (<$1M),1. Under 90 min,English,English
Dragonfly,en,"Fantasy,Drama,Thriller",Tom Shadyac,2002,2002-02-22,Released,104,false,3. Mid ($15-75M),2. 90-120 min,English,English
Sunshine,en,"Drama,History,Romance,War",István Szabó,1999,1999-09-13,Released,181,false,3. Mid ($15-75M),5. 180+ min,English,English
Charlie,en,"Drama,Action,Thriller,Crime",Malcolm Needs,2004,2004-02-06,Released,95,false,1. Micro (<$1M),2. 90-120 min,English,English
Hold-up,fr,"Comedy,Crime",Alexandre Arcady,1985,1985-10-23,Released,114,false,2. Low ($1-15M),2. 90-120 min,Non-English,French
The Fall Guy,en,"Action,Comedy,Romance",David Leitch,2024,2024-04-24,Released,127,false,4. High ($75-150M),3. 120-150 min,English,English
xXx: State of the Union,en,"Adventure,Action,Thriller,Crime",Lee Tamahori,2005,2005-04-27,Released,101,false,3. Mid ($15-75M),2. 90-120 min,English,English
What Dreams May Come,en,"Fantasy,Drama,Romance",Vincent Ward,1998,1998-10-02,Released,113,false,4. High ($75-150M),2. 90-120 min,English,English
Carriers,en,"Drama,Horror,Action,Thriller,Science Fiction",Àlex Pastor,2009,2009-09-04,Released,84,false,1. Micro (<$1M),1. Under 90 min,English,English
Iron Man 3,en,"Adventure,Action,Science Fiction",Shane Black,2013,2013-04-18,Released,130,false,5. Blockbuster ($150M+),3. 120-150 min,English,English
Forbidden Sun,en,"Thriller,Mystery",Zelda Barron,1988,1988-07-01,Released,88,false,1. Micro (<$1M),1. Under 90 min,English,English
Evangeline,en,Drama,Edwin Carewe,1929,1929-08-24,Released,90,false,1. Micro (<$1M),2. 90-120 min,English,English
Pink Ludoos,de,"Drama,Comedy,Romance",Gaurav Seth,2004,2004-12-03,Released,0,false,1. Micro (<$1M),1. Under 90 min,Non-English,German
Shrek 5,en,"Adventure,Fantasy,Animation,Comedy,Family",Walt Dohrn,1927,1927-06-30,In Production,0,false,1. Micro (<$1M),1. Under 90 min,English,English
Oppenheimer,en,"Drama,History",Christopher Nolan,2023,2023-07-19,Released,181,false,4. High ($75-150M),5. 180+ min,English,English
Being Maria,fr,"Drama,History",Jessica Palud,2024,2024-06-19,Released,100,false,1. Micro (<$1M),2. 90-120 min,Non-English,French
Consumed,en,Horror,Mitchell Altieri,2024,2024-08-16,Released,89,false,1. Micro (<$1M),1. Under 90 min,English,English
The Map That Leads to You,en,"Drama,Romance",Lasse Hallström,2025,2025-08-19,Released,96,false,1. Micro (<$1M),2. 90-120 min,English,English
Night Patrol,en,"Horror,Mystery",Ryan Prows,2026,2026-01-16,Released,104,false,1. Micro (<$1M),2. 90-120 min,English,English
Them!,en,"Horror,Science Fiction",Gordon Douglas,1954,1954-06-16,Released,94,false,3. Mid ($15-75M),2. 90-120 min,English,English
Quicksilver,en,"Adventure,Drama,Action",Thomas Michael Donnelly,1986,1986-02-14,Released,105,false,2. Low ($1-15M),2. 90-120 min,English,English
Blade II,en,"Fantasy,Horror,Action,Thriller",Guillermo del Toro,2002,2002-03-22,Released,117,false,3. Mid ($15-75M),2. 90-120 min,English,English
Flypaper,en,"Action,Thriller,Romance",Klaus Hoch,1999,1999-07-18,Released,108,false,1. Micro (<$1M),2. 90-120 min,English,English
Secret of the Wings,en,"Adventure,Fantasy,Animation,Family",Peggy Holmes,2012,2012-08-17,Released,75,false,1. Micro (<$1M),1. Under 90 min,English,English
Split,en,"Horror,Thriller",M. Night Shyamalan,2017,2017-01-19,Released,117,false,2. Low ($1-15M),2. 90-120 min,English,English
The War with Grandpa,en,"Comedy,Family",Tim Hill,2020,2020-08-27,Released,98,false,3. Mid ($15-75M),2. 90-120 min,English,English
Jojo Rabbit,en,"Drama,Comedy,War",Taika Waititi,2019,2019-10-18,Released,108,false,2. Low ($1-15M),2. 90-120 min,English,English
Violent Night,en,"Fantasy,Action,Comedy",Tommy Wirkola,2022,2022-11-30,Released,111,false,3. Mid ($15-75M),2. 90-120 min,English,English
Disturbia,en,"Drama,Thriller,Mystery",D.J. Caruso,2007,2007-03-27,Released,105,false,3. Mid ($15-75M),2. 90-120 min,English,English
Baby Love,en,Drama,Alastair Reid,1969,1969-03-19,Released,93,false,1. Micro (<$1M),2. 90-120 min,English,English
Love Jones,en,"Drama,Comedy,Romance",Theodore Witcher,1997,1997-03-14,Released,109,false,2. Low ($1-15M),2. 90-120 min,English,English
Aerial,en,Documentary,Margaret Tait,1974,1974-01-01,Released,4,false,1. Micro (<$1M),1. Under 90 min,English,English
The Lord of the Rings: The War of the Rohirrim,en,"Adventure,Fantasy,Animation,Action",Kenji Kamiyama,2024,2024-12-05,Released,134,false,3. Mid ($15-75M),3. 120-150 min,English,English
Meet Cute,en,"Fantasy,Comedy,Science Fiction,Romance",Alexandre Lehmann,2022,2022-09-21,Released,90,false,1. Micro (<$1M),2. 90-120 min,English,English
The Monkey,en,"Horror,Comedy",Osgood Perkins,2025,2025-02-14,Released,97,false,2. Low ($1-15M),2. 90-120 min,English,English
Taboo,en,"Drama,Horror,Thriller,Mystery",Max Makowski,2002,2002-01-14,Released,80,false,1. Micro (<$1M),1. Under 90 min,English,English
Saiyuki: Requiem,ja,"Adventure,Animation,Action",Hayato Date,2001,2001-08-18,Released,95,false,1. Micro (<$1M),2. 90-120 min,Non-English,Japanese
Albéniz,es,Drama,Luis César Amadori,1947,1947-08-05,Released,125,false,1. Micro (<$1M),3. 120-150 min,Non-English,Spanish
Ice Grill,en,"Action,Crime",Jon Stu,2002,2002-07-03,Released,98,false,1. Micro (<$1M),2. 90-120 min,English,English
The Arms Drop,da,Documentary,Andreas Koefoed,2014,2014-06-04,Released,94,false,1. Micro (<$1M),2. 90-120 min,Non-English,Other
Men in Black: International,en,"Adventure,Action,Comedy,Science Fiction",F. Gary Gray,2019,2019-06-12,Released,115,false,4. High ($75-150M),2. 90-120 min,English,English
The Sea Beast,en,"Adventure,Fantasy,Animation,Action,Family",Chris Williams,2022,2022-06-24,Released,115,false,1. Micro (<$1M),2. 90-120 min,English,English
Tenet,en,"Action,Thriller,Science Fiction",Christopher Nolan,2020,2020-08-22,Released,150,false,5. Blockbuster ($150M+),4. 150-180 min,English,English
Get Him to the Greek,en,"Adventure,Comedy,Music",Nicholas Stoller,2010,2010-06-03,Released,109,false,3. Mid ($15-75M),2. 90-120 min,English,English
The Butler,en,Drama,Lee Daniels,2013,2013-08-16,Released,132,false,3. Mid ($15-75M),3. 120-150 min,English,English
Samurai Sentai Shinkenger vs. Go-Onger: Silver Screen BANG!!,ja,"Adventure,Action,Science Fiction",Shojiro Nakazawa,2010,2010-01-30,Released,64,false,1. Micro (<$1M),1. Under 90 min,Non-English,Japanese
Magellan,en,"Thriller,Science Fiction,Mystery",Rob York,2017,2017-02-12,Released,103,false,1. Micro (<$1M),2. 90-120 min,English,English
Saying No,en,"Drama,Documentary",Karen Crommie,1982,1982-09-30,Released,16,false,1. Micro (<$1M),1. Under 90 min,English,English
Ambulance,en,"Drama,Action,Thriller,Crime",Michael Bay,2022,2022-03-16,Released,136,false,3. Mid ($15-75M),3. 120-150 min,English,English
Marisol,en,Drama,Kevin Abrams,2023,2023-09-01,Released,95,false,1. Micro (<$1M),2. 90-120 min,English,English
Funky,te,"Drama,Comedy,Romance",Anudeep,2026,2026-02-13,Released,0,false,1. Micro (<$1M),1. Under 90 min,Non-English,Other
Rocky II,en,Drama,Sylvester Stallone,1979,1979-06-15,Released,119,false,2. Low ($1-15M),2. 90-120 min,English,English
Hitman: Agent 47,en,"Action,Thriller,Crime",Aleksander Bach,2015,2015-08-20,Released,96,false,3. Mid ($15-75M),2. 90-120 min,English,English
Kamen Rider Ghost RE:BIRTH - Kamen Rider Specter,ja,"Adventure,Action,Science Fiction",Kazuya Kamihoriuchi,2017,2017-04-19,Released,60,false,1. Micro (<$1M),1. Under 90 min,Non-English,Japanese
The King,en,"Drama,History,War",David Michôd,2019,2019-10-11,Released,140,false,1. Micro (<$1M),3. 120-150 min,English,English
Mississippi Gambler,en,"Drama,Crime",John Rawlins,1942,1942-04-17,Released,60,false,1. Micro (<$1M),1. Under 90 min,English,English
Propane,en,Fantasy,Marco Baglieri,2009,2009-01-01,Released,0,false,1. Micro (<$1M),1. Under 90 min,English,English
Wish,en,"Adventure,Fantasy,Animation,Family",Chris Buck,2023,2023-11-13,Released,95,false,5. Blockbuster ($150M+),2. 90-120 min,English,English
You Only Live Twice,en,"Adventure,Action,Thriller",Lewis Gilbert,1967,1967-06-13,Released,117,false,2. Low ($1-15M),2. 90-120 min,English,English
L.A. Confidential,en,"Drama,Thriller,Crime,Mystery",Curtis Hanson,1997,1997-09-19,Released,138,false,3. Mid ($15-75M),3. 120-150 min,English,English
Ong-Bak,th,"Action,Crime",Prachya Pinkaew,2003,2003-01-31,Released,105,false,2. Low ($1-15M),2. 90-120 min,Non-English,Other
Gone in Sixty Seconds,en,"Action,Thriller,Crime",Dominic Sena,2000,2000-06-09,Released,118,false,4. High ($75-150M),2. 90-120 min,English,English
Friday the 13th,en,"Horror,Thriller",Marcus Nispel,2009,2009-02-11,Released,97,false,3. Mid ($15-75M),2. 90-120 min,English,English
