genre_name,release_year,original_language,director_name,budget_tier,runtime_bucket
Drama,2006,en,Alejandro González Iñárritu,3. Mid ($15-75M),3. 120-150 min
TV Movie,1999,en,Nicolas Roeg,1. Micro (<$1M),2. 90-120 min
Horror,1998,ja,Akio Jissoji,1. Micro (<$1M),2. 90-120 min
Crime,1961,de,Helmut Ashley,1. Micro (<$1M),1. Under 90 min
Action,1997,en,Sam Firstenberg,1. Micro (<$1M),2. 90-120 min
Romance,2022,ja,Takahiro Miki,1. Micro (<$1M),3. 120-150 min
Crime,2026,zh,Daming Chen,1. Micro (<$1M),3. 120-150 min
Romance,2025,tl,Rain Yamson,1. Micro (<$1M),1. Under 90 min
Comedy,1976,cs,Věra Plívová-Šimková,1. Micro (<$1M),2. 90-120 min
Family,2026,en,Thomas Kail,1. Micro (<$1M),1. Under 90 min
Drama,2025,it,Andrea Ricciotti,1. Micro (<$1M),1. Under 90 min
Mystery,2002,en,Don Coscarelli,2. Low ($1-15M),2. 90-120 min
Comedy,1970,en,Mike Nichols,3. Mid ($15-75M),3. 120-150 min
Drama,2010,en,Quentin Dupieux,1. Micro (<$1M),1. Under 90 min
Adventure,2012,en,Ridley Scott,4. High ($75-150M),3. 120-150 min
Horror,1993,en,Chris Newby,1. Micro (<$1M),2. 90-120 min
Comedy,1981,pt,Haroldo Marinho Barbosa,1. Micro (<$1M),2. 90-120 min
Comedy,2014,de,Christian Schwochow,1. Micro (<$1M),1. Under 90 min
Animation,2016,ja,Makoto Shinkai,1. Micro (<$1M),2. 90-120 min
TV Movie,1986,en,William Hale,1. Micro (<$1M),5. 180+ min
Drama,2018,en,Adrian Shergold,2. Low ($1-15M),2. 90-120 min
Action,1927,en,Clarence G. Badger,1. Micro (<$1M),1. Under 90 min
War,2025,fi,Jalmari Helander,2. Low ($1-15M),1. Under 90 min
Action,2005,en,Rob Bowman,3. Mid ($15-75M),2. 90-120 min
Drama,2012,en,John Hillcoat,3. Mid ($15-75M),2. 90-120 min
Comedy,2013,en,Tim Tsiklauri,1. Micro (<$1M),2. 90-120 min
Drama,2016,en,Mira Nair,3. Mid ($15-75M),3. 120-150 min
Drama,1962,de,Rainer Erler,1. Micro (<$1M),1. Under 90 min
Horror,2022,es,Carlota Pereda,2. Low ($1-15M),2. 90-120 min
Action,1988,en,James Connell,1. Micro (<$1M),2. 90-120 min
Drama,2023,pt,Eduardo Brito,1. Micro (<$1M),1. Under 90 min
Drama,1994,en,Craig R. Baxley,1. Micro (<$1M),1. Under 90 min
Comedy,2018,lt,Eglė Vertelytė,1. Micro (<$1M),2. 90-120 min
Horror,2020,en,Aaron Moorhead,1. Micro (<$1M),2. 90-120 min
Family,2024,de,Damián John Harper,1. Micro (<$1M),2. 90-120 min
Thriller,1973,en,Richard Fleischer,1. Micro (<$1M),2. 90-120 min
Science Fiction,2003,en,George T. Miller,1. Micro (<$1M),2. 90-120 min
Thriller,2011,en,Matthew Chapman,2. Low ($1-15M),2. 90-120 min
Drama,1986,en,Ridha Behi,1. Micro (<$1M),1. Under 90 min
History,2017,en,Rob Reiner,3. Mid ($15-75M),2. 90-120 min
Comedy,2024,en,Shawn Levy,5. Blockbuster ($150M+),3. 120-150 min
Drama,2017,en,Mac Nixon,1. Micro (<$1M),1. Under 90 min
Mystery,2023,fr,Justine Triet,2. Low ($1-15M),4. 150-180 min
Fantasy,1938,en,William Cottrell,2. Low ($1-15M),1. Under 90 min
Drama,2010,en,Ryan Murphy,3. Mid ($15-75M),3. 120-150 min
Drama,1980,nl,Paul Verhoeven,1. Micro (<$1M),3. 120-150 min
Thriller,1993,en,Howard Libov,1. Micro (<$1M),2. 90-120 min
Horror,2004,en,Johny Walker,1. Micro (<$1M),1. Under 90 min
Thriller,2017,en,Elliott Lester,1. Micro (<$1M),1. Under 90 min
Comedy,2015,es,Joe Menendez,1. Micro (<$1M),2. 90-120 min
Thriller,2015,en,Matt Duffer,1. Micro (<$1M),1. Under 90 min
Crime,2018,it,Matteo Garrone,1. Micro (<$1M),2. 90-120 min
Comedy,2019,en,Lorene Scafaria,3. Mid ($15-75M),2. 90-120 min
Horror,2025,en,Destry Allyn Spielberg,1. Micro (<$1M),2. 90-120 min
Thriller,2024,en,Robert Grasmere,1. Micro (<$1M),2. 90-120 min
Drama,2025,en,Scott Cooper,3. Mid ($15-75M),3. 120-150 min
Comedy,2025,en,Jonathan Teplitzky,1. Micro (<$1M),2. 90-120 min
Drama,2006,de,Florian Henckel von Donnersmarck,2. Low ($1-15M),3. 120-150 min
Drama,2009,en,Matthew Thompson,1. Micro (<$1M),2. 90-120 min
Crime,1999,hi,Mahesh Bhatt,1. Micro (<$1M),3. 120-150 min
Action,1968,it,Camillo Bazzoni,1. Micro (<$1M),2. 90-120 min
Science Fiction,1974,ja,Yugo Serikawa,1. Micro (<$1M),1. Under 90 min
Crime,2018,en,Marco Serafini,1. Micro (<$1M),2. 90-120 min
Music,2020,en,Andrew Erwin,2. Low ($1-15M),2. 90-120 min
Horror,2021,en,Damian McCarthy,1. Micro (<$1M),1. Under 90 min
Science Fiction,2025,en,William Kaufman,1. Micro (<$1M),2. 90-120 min
Crime,2007,en,Philip G. Atwell,3. Mid ($15-75M),2. 90-120 min
Thriller,1949,en,Victor Saville,1. Micro (<$1M),1. Under 90 min
Documentary,2018,en,Ian Bonhôte,1. Micro (<$1M),2. 90-120 min
Drama,2019,en,John Fraser,1. Micro (<$1M),2. 90-120 min
Drama,2024,hi,Dibakar Banerjee,1. Micro (<$1M),3. 120-150 min
Action,2025,es,Cristian Tapia Marchiori,1. Micro (<$1M),1. Under 90 min
Comedy,2007,en,Craig Gillespie,3. Mid ($15-75M),1. Under 90 min
Thriller,2009,en,Stephen Sommers,5. Blockbuster ($150M+),2. 90-120 min
Mystery,2000,en,Uwe Boll,2. Low ($1-15M),2. 90-120 min
Fantasy,2010,en,Susanna White,3. Mid ($15-75M),2. 90-120 min
Crime,2012,en,Martin McDonagh,3. Mid ($15-75M),2. 90-120 min
Mystery,1934,en,Edwin L. Marin,1. Micro (<$1M),1. Under 90 min
Science Fiction,2015,en,Nguyen-Anh Nguyen,1. Micro (<$1M),1. Under 90 min
Science Fiction,2021,en,Joe Carnahan,3. Mid ($15-75M),2. 90-120 min
Thriller,2021,en,Chris Suchorsky,1. Micro (<$1M),1. Under 90 min
Drama,1964,es,Pedro Olea,1. Micro (<$1M),1. Under 90 min
Drama,2023,en,Molly Manning Walker,1. Micro (<$1M),2. 90-120 min
Horror,2025,id,Azhar Kinoi Lubis,1. Micro (<$1M),2. 90-120 min
Comedy,1990,en,Reginald Hudlin,2. Low ($1-15M),2. 90-120 min
Drama,1971,en,Peter Sasdy,1. Micro (<$1M),2. 90-120 min
Romance,2014,en,Frank Coraci,3. Mid ($15-75M),2. 90-120 min
Animation,1953,en,Seymour Kneitel,1. Micro (<$1M),1. Under 90 min
Thriller,2017,en,Andy Muschietti,3. Mid ($15-75M),3. 120-150 min
Thriller,2015,bn,Sujoy Ghosh,1. Micro (<$1M),1. Under 90 min
Drama,2015,de,Elisabeth Scharang,1. Micro (<$1M),2. 90-120 min
Drama,2019,en,James Gray,4. High ($75-150M),3. 120-150 min
Comedy,2018,en,Jacques Audiard,3. Mid ($15-75M),3. 120-150 min
Crime,2019,en,Steven Soderbergh,1. Micro (<$1M),2. 90-120 min
Drama,2025,fr,Jean Epstein,1. Micro (<$1M),1. Under 90 min
Drama,1994,mr,Avinash Thakur,1. Micro (<$1M),1. Under 90 min
Comedy,2026,fr,Philippe Lacheau,3. Mid ($15-75M),2. 90-120 min
Action,2007,en,Gore Verbinski,5. Blockbuster ($150M+),4. 150-180 min
Comedy,2004,en,Jessy Terrero,3. Mid ($15-75M),1. Under 90 min
Action,2023,en,James Mangold,5. Blockbuster ($150M+),4. 150-180 min
Family,2017,en,Stuart Hazeldine,3. Mid ($15-75M),3. 120-150 min
Thriller,2000,es,Alejandro González Iñárritu,2. Low ($1-15M),4. 150-180 min
Adventure,1996,en,Brian De Palma,4. High ($75-150M),2. 90-120 min
Comedy,1998,en,Terry Gilliam,3. Mid ($15-75M),2. 90-120 min
Action,1997,cn,Sammo Hung Kam-Bo,2. Low ($1-15M),2. 90-120 min
Comedy,1996,en,Stephen Herek,3. Mid ($15-75M),2. 90-120 min
Western,2002,es,Álex de la Iglesia,2. Low ($1-15M),3. 120-150 min
Drama,1976,en,Gordon Parks,1. Micro (<$1M),3. 120-150 min
Romance,2015,en,Todd Haynes,2. Low ($1-15M),2. 90-120 min
Crime,2017,en,Chad Stahelski,3. Mid ($15-75M),3. 120-150 min
Western,1937,en,Lesley Selander,1. Micro (<$1M),1. Under 90 min
Documentary,2015,en,Vaughan Sivell,1. Micro (<$1M),2. 90-120 min
Drama,2017,en,Vanessa Parise,1. Micro (<$1M),1. Under 90 min
Music,2021,id,Garin Nugroho,1. Micro (<$1M),1. Under 90 min
Crime,2024,en,Potsy Ponciroli,1. Micro (<$1M),2. 90-120 min
Comedy,2025,en,Michael Hamilton-Wright,1. Micro (<$1M),1. Under 90 min
Crime,1987,en,Tony Scott,3. Mid ($15-75M),2. 90-120 min
Crime,1993,en,Tony Scott,2. Low ($1-15M),3. 120-150 min
Drama,1999,en,Frank Darabont,3. Mid ($15-75M),5. 180+ min
Mystery,1999,en,M. Night Shyamalan,3. Mid ($15-75M),2. 90-120 min
Thriller,2003,fi,Tapio Piirainen,2. Low ($1-15M),3. 120-150 min
Horror,1988,en,Robert Englund,1. Micro (<$1M),2. 90-120 min
Drama,1974,it,Giuseppe Patroni Griffi,1. Micro (<$1M),2. 90-120 min
Comedy,1977,en,John Berry,1. Micro (<$1M),2. 90-120 min
Western,1949,en,William Berke,1. Micro (<$1M),1. Under 90 min
Drama,2016,en,Patricia Riggen,3. Mid ($15-75M),2. 90-120 min
Drama,2013,da,Einar Zangenberg,1. Micro (<$1M),1. Under 90 min
Science Fiction,1999,en,Lilly Wachowski,3. Mid ($15-75M),3. 120-150 min
History,1991,en,Oliver Stone,3. Mid ($15-75M),5. 180+ min
Mystery,2011,en,Wes Craven,3. Mid ($15-75M),2. 90-120 min
Crime,2013,ko,Park Hoon-jung,1. Micro (<$1M),3. 120-150 min
Thriller,2014,en,Jalmari Helander,2. Low ($1-15M),2. 90-120 min
TV Movie,2006,it,Massimo Spano,1. Micro (<$1M),5. 180+ min
Family,2017,id,Pritagita Arianegara,1. Micro (<$1M),1. Under 90 min
Thriller,2017,en,Brian Herzlinger,1. Micro (<$1M),2. 90-120 min
Comedy,2019,en,Alexandre Lehmann,1. Micro (<$1M),1. Under 90 min
Thriller,2021,en,Guy Ritchie,3. Mid ($15-75M),2. 90-120 min
Thriller,2023,de,Jonas Rothlaender,2. Low ($1-15M),2. 90-120 min
Comedy,2021,es,Mariano Cohn,2. Low ($1-15M),2. 90-120 min
Comedy,2021,ro,Radu Jude,1. Micro (<$1M),1. Under 90 min
Drama,2025,it,Mario Martone,1. Micro (<$1M),2. 90-120 min
Comedy,2025,ja,Masakazu Hashimoto,1. Micro (<$1M),2. 90-120 min
War,2025,en,Lior Geller,1. Micro (<$1M),2. 90-120 min
Drama,2025,en,Daniel Bielinski,1. Micro (<$1M),1. Under 90 min
Fantasy,1995,en,Chris Noonan,3. Mid ($15-75M),2. 90-120 min
Horror,2009,en,Jon Wright,1. Micro (<$1M),2. 90-120 min
Family,1983,en,Al Adamson,1. Micro (<$1M),1. Under 90 min
Crime,1994,en,Guy Magar,1. Micro (<$1M),2. 90-120 min
Thriller,2009,en,Glenn Leyburn,1. Micro (<$1M),1. Under 90 min
Drama,2008,et,Kadri Kõusaar,1. Micro (<$1M),1. Under 90 min
Horror,2025,en,Angela Gulner,1. Micro (<$1M),1. Under 90 min
Drama,2024,en,D.W. Waterson,1. Micro (<$1M),2. 90-120 min
Documentary,2022,fr,Thorsten Ernst,1. Micro (<$1M),2. 90-120 min
Action,1984,en,John G. Avildsen,2. Low ($1-15M),3. 120-150 min
Romance,1994,en,Ron Underwood,3. Mid ($15-75M),2. 90-120 min
Animation,1994,en,Don Bluth,3. Mid ($15-75M),1. Under 90 min
Crime,1974,en,Alan Ormsby,1. Micro (<$1M),1. Under 90 min
Horror,1993,cn,Herman Yau,1. Micro (<$1M),2. 90-120 min
Drama,2002,en,Chris Eyre,1. Micro (<$1M),1. Under 90 min
Fantasy,2012,en,Tim Burton,5. Blockbuster ($150M+),2. 90-120 min
Adventure,2017,en,Espen Sandberg,5. Blockbuster ($150M+),3. 120-150 min
Drama,2014,en,Trish Sie,3. Mid ($15-75M),2. 90-120 min
Adventure,2024,en,McG,1. Micro (<$1M),2. 90-120 min
Comedy,1961,en,John Knight,1. Micro (<$1M),1. Under 90 min
Comedy,2014,ja,Masato Jimbo,1. Micro (<$1M),1. Under 90 min
Family,2003,en,Richard Linklater,3. Mid ($15-75M),2. 90-120 min
Adventure,2005,en,Michael Bay,4. High ($75-150M),3. 120-150 min
Action,2004,en,Paul Greengrass,4. High ($75-150M),2. 90-120 min
Romance,2004,en,Joel Schumacher,3. Mid ($15-75M),3. 120-150 min
Action,2009,en,Guy Ritchie,4. High ($75-150M),3. 120-150 min
Music,2009,en,Peter Chelsom,3. Mid ($15-75M),2. 90-120 min
Drama,1994,hu,Béla Tarr,2. Low ($1-15M),5. 180+ min
Romance,2007,ja,Makoto Shinkai,2. Low ($1-15M),1. Under 90 min
Drama,2011,en,Shawn Ku,1. Micro (<$1M),2. 90-120 min
Drama,1967,en,Ron Winston,1. Micro (<$1M),2. 90-120 min
Comedy,1978,es,Jaime Humberto Hermosillo,1. Micro (<$1M),2. 90-120 min
Drama,2018,en,Filipe Melo,1. Micro (<$1M),1. Under 90 min
Crime,2022,es,Daniel Calparsoro,1. Micro (<$1M),1. Under 90 min
Drama,2024,en,Chris Sanders,4. High ($75-150M),2. 90-120 min
Crime,2025,en,Jared Cohn,1. Micro (<$1M),1. Under 90 min
Science Fiction,2010,en,Jon Favreau,5. Blockbuster ($150M+),3. 120-150 min
Action,1971,zh,Lo Wei,1. Micro (<$1M),2. 90-120 min
Crime,2008,en,Toby Wilkins,1. Micro (<$1M),1. Under 90 min
Fantasy,1970,en,Antony Balch,1. Micro (<$1M),2. 90-120 min
Drama,1980,en,David Heeley,1. Micro (<$1M),1. Under 90 min
Comedy,1994,it,Antonio Manetti,1. Micro (<$1M),2. 90-120 min
Action,2015,ja,Tadayoshi Yamamuro,2. Low ($1-15M),2. 90-120 min
Thriller,2022,en,David Blue Garcia,3. Mid ($15-75M),1. Under 90 min
Drama,2024,ko,Cho Sun-ho,1. Micro (<$1M),2. 90-120 min
Drama,2025,en,Amar Wala,1. Micro (<$1M),2. 90-120 min
Drama,2025,en,Mairzee Almas,1. Micro (<$1M),1. Under 90 min
Mystery,1979,en,Robert Wise,3. Mid ($15-75M),3. 120-150 min
Family,1987,en,Rob Reiner,3. Mid ($15-75M),2. 90-120 min
Action,2012,en,Rian Johnson,3. Mid ($15-75M),2. 90-120 min
Comedy,2013,en,Peter Segal,3. Mid ($15-75M),2. 90-120 min
Western,1966,it,Tinto Brass,1. Micro (<$1M),2. 90-120 min
Drama,1973,pl,Janusz Nasfeter,1. Micro (<$1M),1. Under 90 min
Drama,2014,en,Dan Gilroy,2. Low ($1-15M),2. 90-120 min
Adventure,2024,en,Barry Jenkins,5. Blockbuster ($150M+),2. 90-120 min
Horror,2026,en,Joshua Sowden,1. Micro (<$1M),1. Under 90 min
Thriller,2003,en,François Ozon,2. Low ($1-15M),2. 90-120 min
Mystery,1981,en,Jim Henson,2. Low ($1-15M),2. 90-120 min
Thriller,1966,en,Jack Smight,2. Low ($1-15M),3. 120-150 min
Thriller,2014,en,Jay Martin,1. Micro (<$1M),2. 90-120 min
Action,2013,en,Jeffery Scott Lando,1. Micro (<$1M),1. Under 90 min
Thriller,2017,en,Taylor Sheridan,2. Low ($1-15M),2. 90-120 min
Documentary,2017,en,Tim Golden,1. Micro (<$1M),2. 90-120 min
Comedy,2020,en,Jason Woliner,1. Micro (<$1M),2. 90-120 min
Adventure,1989,en,Steven Spielberg,3. Mid ($15-75M),3. 120-150 min
Adventure,1996,en,Brian Henson,3. Mid ($15-75M),2. 90-120 min
History,2010,ko,Kim Dae-woo,1. Micro (<$1M),3. 120-150 min
Horror,2001,en,Michael Oblowitz,1. Micro (<$1M),2. 90-120 min
Comedy,1980,fi,Leonid Gaidai,1. Micro (<$1M),2. 90-120 min
TV Movie,2000,en,Richard Eyre,1. Micro (<$1M),1. Under 90 min
Action,1940,en,Sam Newfield,1. Micro (<$1M),1. Under 90 min
Family,2013,en,Tom Ryan,1. Micro (<$1M),1. Under 90 min
Romance,1929,en,Alan Crosland,1. Micro (<$1M),2. 90-120 min
Comedy,2007,en,Master P,1. Micro (<$1M),1. Under 90 min
Crime,2020,en,Cathy Yan,4. High ($75-150M),2. 90-120 min
Thriller,2025,en,Stephen Shimek,1. Micro (<$1M),2. 90-120 min
Romance,2008,en,Danny Boyle,3. Mid ($15-75M),3. 120-150 min
Comedy,1981,en,John Waters,1. Micro (<$1M),1. Under 90 min
Drama,2014,hi,Rajkumar Hirani,2. Low ($1-15M),4. 150-180 min
Crime,2018,en,Drew Goddard,3. Mid ($15-75M),3. 120-150 min
Drama,2019,en,Zach Ramelan,1. Micro (<$1M),1. Under 90 min
Fantasy,2024,en,Alice Lowe,1. Micro (<$1M),1. Under 90 min
Animation,2020,en,Leon Lee,1. Micro (<$1M),1. Under 90 min
Horror,2023,en,Michael Chaves,3. Mid ($15-75M),2. 90-120 min
Drama,2024,kn,Chetan Keshav,1. Micro (<$1M),4. 150-180 min
Horror,2025,en,Brandon Tasker,1. Micro (<$1M),1. Under 90 min
Drama,2005,en,Jacques Thelemaque,1. Micro (<$1M),1. Under 90 min
Science Fiction,2025,en,Andrew McGee,1. Micro (<$1M),1. Under 90 min
Comedy,1984,it,Nanni Moretti,1. Micro (<$1M),2. 90-120 min
Action,1997,en,Greg Yaitanes,1. Micro (<$1M),1. Under 90 min
Thriller,2012,en,Lamberto Bava,1. Micro (<$1M),2. 90-120 min
Mystery,2017,es,Sergio G. Sánchez,2. Low ($1-15M),2. 90-120 min
Comedy,1992,nl,Jan Verheyen,1. Micro (<$1M),2. 90-120 min
Romance,2012,en,McG,3. Mid ($15-75M),2. 90-120 min
Adventure,2016,en,Bryan Singer,5. Blockbuster ($150M+),3. 120-150 min
Action,2016,en,Paul Greengrass,4. High ($75-150M),3. 120-150 min
Action,2016,cn,David Lam Tak-Luk,1. Micro (<$1M),2. 90-120 min
Comedy,2018,es,Javier Ruiz Caldera,2. Low ($1-15M),2. 90-120 min
Thriller,2023,en,Marc Bernardin,1. Micro (<$1M),1. Under 90 min
Drama,2024,ml,Chidambaram,1. Micro (<$1M),3. 120-150 min
Mystery,2025,ko,Min Kyu-dong,1. Micro (<$1M),3. 120-150 min
Drama,2024,de,Ulrike Kofler,1. Micro (<$1M),2. 90-120 min
Action,2014,en,Brett Ratner,4. High ($75-150M),2. 90-120 min
Drama,2015,da,Kenneth Kainz,2. Low ($1-15M),2. 90-120 min
Science Fiction,2021,en,Malcolm D. Lee,5. Blockbuster ($150M+),2. 90-120 min
Adventure,2018,en,Wes Anderson,3. Mid ($15-75M),2. 90-120 min
Action,2016,pa,"",1. Micro (<$1M),2. 90-120 min
Horror,2025,en,Dan Allen,1. Micro (<$1M),1. Under 90 min
Science Fiction,2024,en,Kyle Mooney,3. Mid ($15-75M),2. 90-120 min
Comedy,2026,es,Ihtzi Hurtado,1. Micro (<$1M),2. 90-120 min
Drama,1939,en,Victor Fleming,2. Low ($1-15M),5. 180+ min
Thriller,1994,en,Jan de Bont,3. Mid ($15-75M),2. 90-120 min
Mystery,2000,sv,Michael Hjorth,1. Micro (<$1M),2. 90-120 min
Drama,2011,en,Mark Kassen,1. Micro (<$1M),2. 90-120 min
Drama,1963,en,Boris Petroff,1. Micro (<$1M),1. Under 90 min
Action,2018,en,David Kerr,3. Mid ($15-75M),1. Under 90 min
Thriller,2006,hi,Sanjay Khanna,1. Micro (<$1M),3. 120-150 min
Horror,2021,fr,Baptiste Drapeau,1. Micro (<$1M),2. 90-120 min
Animation,1963,en,Wolfgang Reitherman,2. Low ($1-15M),1. Under 90 min
Comedy,2009,en,Stephen Maddocks,1. Micro (<$1M),2. 90-120 min
Action,2013,en,Carl Rinsch,5. Blockbuster ($150M+),2. 90-120 min
Drama,2012,da,Thomas Vinterberg,2. Low ($1-15M),2. 90-120 min
Horror,1973,en,Robert Vincent O'Neil,1. Micro (<$1M),1. Under 90 min
Documentary,1970,sh,Zoran Tadić,1. Micro (<$1M),1. Under 90 min
Crime,2000,en,Mary Harron,2. Low ($1-15M),2. 90-120 min
Crime,2003,en,Joel Schumacher,3. Mid ($15-75M),2. 90-120 min
Drama,1995,en,Sydney Pollack,3. Mid ($15-75M),3. 120-150 min
Thriller,2010,en,Samuel Bayer,3. Mid ($15-75M),2. 90-120 min
Comedy,1935,en,William Nigh,1. Micro (<$1M),1. Under 90 min
Comedy,2004,en,Ted Mendenhall,1. Micro (<$1M),1. Under 90 min
Drama,2023,en,George B. Seitz,1. Micro (<$1M),1. Under 90 min
Documentary,2010,en,Owen 'Alik Shahadah,2. Low ($1-15M),3. 120-150 min
Thriller,2019,en,Neil Jordan,1. Micro (<$1M),2. 90-120 min
Science Fiction,2020,en,Grant Bergland,1. Micro (<$1M),1. Under 90 min
Drama,2004,pl,Przemysław Młyńczyk,1. Micro (<$1M),1. Under 90 min
Adventure,2010,en,David Yates,5. Blockbuster ($150M+),3. 120-150 min
Drama,2013,en,Jay Hunt,1. Micro (<$1M),1. Under 90 min
Drama,2017,en,James Mangold,4. High ($75-150M),3. 120-150 min
Science Fiction,2015,en,Alex Garland,3. Mid ($15-75M),2. 90-120 min
Documentary,2019,pt,Helena Ignez,1. Micro (<$1M),2. 90-120 min
Music,2020,en,Francisco Lacerda,1. Micro (<$1M),1. Under 90 min
Drama,2021,ja,Shukou Murase,1. Micro (<$1M),2. 90-120 min
Thriller,2020,bn,Debaloy Bhattacharya,1. Micro (<$1M),3. 120-150 min
Drama,2026,en,Andre Gaines,1. Micro (<$1M),2. 90-120 min
Crime,1948,en,Alfred Hitchcock,2. Low ($1-15M),1. Under 90 min
Mystery,2002,en,Doug Liman,3. Mid ($15-75M),2. 90-120 min
Family,2002,en,Robert Rodriguez,3. Mid ($15-75M),2. 90-120 min
Drama,1951,en,Orson Welles,1. Micro (<$1M),2. 90-120 min
Drama,2011,en,Stephen Daldry,3. Mid ($15-75M),3. 120-150 min
Comedy,1978,en,Claudia Weill,1. Micro (<$1M),1. Under 90 min
Comedy,1951,de,Joe Stöckel,1. Micro (<$1M),1. Under 90 min
Drama,1991,en,Mark Tinker,1. Micro (<$1M),2. 90-120 min
Adventure,1993,ja,Nobuhiko Obayashi,1. Micro (<$1M),2. 90-120 min
Drama,1934,cs,Leo Marten,1. Micro (<$1M),1. Under 90 min
Thriller,2021,ro,Radu Muntean,1. Micro (<$1M),2. 90-120 min
Comedy,1964,en,Robert Stevenson,2. Low ($1-15M),3. 120-150 min
Mystery,1997,en,Jeb Stuart,3. Mid ($15-75M),2. 90-120 min
Horror,2008,en,James Watkins,2. Low ($1-15M),2. 90-120 min
Music,2009,en,Anton Corbijn,1. Micro (<$1M),1. Under 90 min
Science Fiction,2012,ja,Hiroyuki Kato,1. Micro (<$1M),1. Under 90 min
War,1979,sh,Antun Vrdoljak,1. Micro (<$1M),2. 90-120 min
Comedy,1954,cs,Václav Kašlík,1. Micro (<$1M),1. Under 90 min
Adventure,1988,en,Peter MacDonald,3. Mid ($15-75M),2. 90-120 min
Crime,2008,en,David Gordon Green,3. Mid ($15-75M),2. 90-120 min
Horror,2010,en,Darren Aronofsky,2. Low ($1-15M),2. 90-120 min
Family,2012,en,Peter Ramsey,4. High ($75-150M),2. 90-120 min
Thriller,1988,en,William Webb,1. Micro (<$1M),2. 90-120 min
Drama,2013,en,Andrea Pallaoro,1. Micro (<$1M),2. 90-120 min
Crime,2021,en,Joseph Mensch,1. Micro (<$1M),2. 90-120 min
Action,1998,en,Nash Edgerton,1. Micro (<$1M),1. Under 90 min
Horror,2021,en,Marcel Walz,1. Micro (<$1M),2. 90-120 min
Drama,2025,el,Penny Panayotopoulou,1. Micro (<$1M),3. 120-150 min
Drama,1943,en,Michael Curtiz,1. Micro (<$1M),2. 90-120 min
Science Fiction,1983,en,David Cronenberg,2. Low ($1-15M),2. 90-120 min
Comedy,2007,en,Marcos Siega,1. Micro (<$1M),1. Under 90 min
Drama,2014,en,Liza Johnson,1. Micro (<$1M),2. 90-120 min
Drama,2017,en,Michael Gracey,4. High ($75-150M),2. 90-120 min
Comedy,2016,fr,Alexandre Castagnetti,1. Micro (<$1M),2. 90-120 min
Drama,2018,fi,Simo Halinen,2. Low ($1-15M),2. 90-120 min
Science Fiction,2021,en,Miguel Sapochnik,2. Low ($1-15M),2. 90-120 min
Drama,2021,en,Robert Lorenz,3. Mid ($15-75M),2. 90-120 min
Drama,2021,en,Liz Clare,1. Micro (<$1M),2. 90-120 min
Horror,2025,en,Matt Palmer,1. Micro (<$1M),2. 90-120 min
Drama,2024,en,Gigi Saul Guerrero,1. Micro (<$1M),2. 90-120 min
Drama,"",es,Martín Piroyansky,1. Micro (<$1M),1. Under 90 min
Drama,1979,en,Alan Clarke,1. Micro (<$1M),2. 90-120 min
Comedy,1989,en,Larry Cohen,2. Low ($1-15M),2. 90-120 min
Science Fiction,1983,en,Mike Gray,2. Low ($1-15M),1. Under 90 min
Comedy,2013,en,Chris Sanders,4. High ($75-150M),2. 90-120 min
Drama,2018,en,Rayka Zehtabchi,1. Micro (<$1M),1. Under 90 min
Drama,2025,en,Eric Lin,1. Micro (<$1M),2. 90-120 min
Drama,2024,en,Christopher Yip,1. Micro (<$1M),1. Under 90 min
Drama,1983,fr,Catherine Corsini,1. Micro (<$1M),1. Under 90 min
Fantasy,2024,de,Sven Unterwaldt Jr.,1. Micro (<$1M),2. 90-120 min
Thriller,"",en,Colleen McGuinness,1. Micro (<$1M),1. Under 90 min
Action,2008,en,Pierre Morel,3. Mid ($15-75M),2. 90-120 min
Drama,2008,en,Gus Van Sant,3. Mid ($15-75M),3. 120-150 min
Thriller,1983,en,Douglas Trumbull,3. Mid ($15-75M),2. 90-120 min
Science Fiction,1976,en,Alexander Singer,1. Micro (<$1M),1. Under 90 min
Drama,2014,nl,Colette Bothof,1. Micro (<$1M),1. Under 90 min
TV Movie,2019,en,Peter DeLuise,1. Micro (<$1M),2. 90-120 min
Drama,1969,en,Alfred Hitchcock,2. Low ($1-15M),3. 120-150 min
Mystery,1999,en,Bruce Beresford,3. Mid ($15-75M),2. 90-120 min
Horror,2006,en,Kevin VanHook,1. Micro (<$1M),2. 90-120 min
Romance,1955,en,Raoul Walsh,1. Micro (<$1M),3. 120-150 min
Music,1932,de,Karel Lamač,1. Micro (<$1M),1. Under 90 min
Crime,2019,en,Joe Berlinger,1. Micro (<$1M),2. 90-120 min
Drama,1982,en,Ridley Scott,3. Mid ($15-75M),2. 90-120 min
Drama,2008,en,Paul Morrison,2. Low ($1-15M),2. 90-120 min
Science Fiction,1996,ja,Takuya Sato,1. Micro (<$1M),2. 90-120 min
Action,1998,en,Jeff Celentano,2. Low ($1-15M),2. 90-120 min
Drama,2016,en,Rebecca Daly,1. Micro (<$1M),2. 90-120 min
Horror,2019,en,Michael Chaves,2. Low ($1-15M),2. 90-120 min
Drama,2020,nl,Amira Duynhouwer,1. Micro (<$1M),1. Under 90 min
Comedy,1992,en,Penelope Spheeris,3. Mid ($15-75M),2. 90-120 min
Horror,2007,en,Joe Lynch,2. Low ($1-15M),2. 90-120 min
